Machine Model;Brand;Part Code;Part Name (GR);Part Name (EN);Category;System;Image;Status;Replaced By;Notes
Gran Lattissima;;96549;Βάση Κούπας με Σχαράκι Λευκή;Cup Base With Grid White;Cup Support / Stand;OL;96549.jpg;Active;;
Gran Lattissima;;96550;Βάση Κούπας με Σχαράκι Μαύρη;Cup Base With Grid Black;Cup Support / Stand;OL;96550.jpg;Active;;
Gran Lattissima;;96547;Δίχτυ Κάψουλων Λευκό;Capsule Grid White;Capsule Container / Grid;OL;96547.jpg;Active;;
Gran Lattissima;;96548;Δίχτυ Κάψουλων Μαύρο;Capsule Grid Black;Capsule Container / Grid;OL;96548.jpg;Active;;
Gran Lattissima;;96540;Δοχείο Νερού;Water Tank;Water Tank / Lid;OL;96540.jpg;Active;;
Gran Lattissima;;96689;Σωληνάκι Γάλακτος;Milk Tube;Milk System;OL;96689.jpg;Active;;
Gran Lattissima;;96543;Καράφα Γάλακτος Λευκή;Milk Carafe White;Milk System;OL;96543.jpg;Active;;
Gran Lattissima;;96690;MONO Κεφαλή Καράφας Λευκή;Milk Carafe Head White;Milk System;OL;no.png;Active;;
Gran Lattissima;;96695;Βαλβίδα Σύνδεσης Δοχείου Γάλακτος;Milk Container Connection Valve;Milk System;OL;96695.jpg;Active;;
Gran Lattissima;;96544;Καράφα Γάλακτος Μαύρη;Milk Carafe Black;Milk System;OL;96544.jpg;Active;;
Gran Lattissima;;96691;MONO Κεφαλή Καράφας Μαύρη;Milk Carafe Head Black;Milk System;OL;96691.jpg;Active;;
Gran Lattissima;;96692;Δοχείο Γάλακτος;Milk Carafe Head Black;Milk System;OL;96692.jpg;Active;;
Expert;Krups;95812;Μεταλλική Βάση;Metal Base;Cup Support / Stand;OL;95812.jpg;Active;;
Expert;Krups;95820;Σχάρα Στήριξης Κούπας;Cup Support Grid;Cup Support / Stand;OL;95820.jpg;Active;;
Expert;Unbranded;95818/95819;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;OL;95818_95819.jpg;Active;;
Expert;DeLonghi;95811;Μεταλλική Βάση;Metal Base;Cup Support / Stand;OL;95811.jpg;Active;;
Expert;DeLonghi;95821;Σχάρα Στήριξης Κούπας;Cup Support Grid;Cup Support / Stand;OL;95821.jpg;Active;;
Expert;DeLonghi;95860;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;OL;95860.jpg;Active;;
Expert;Krups;95861;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;OL;95861.jpg;Active;;
Expert;Krups;95815;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;OL;95815.jpg;Phased Out;;Για μηχανές με σειριακό αριθμό μικρότερο από 17234
Expert;Krups/Delonghi;95817;Δοχείο Καψουλών;Capsule Container;Capsule Container / Grid;OL;95817.jpg;Active;;Για μηχανές με σειριακό αριθμό μικρότερο από 17234
